시군명,사업장명,인허가일자,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,인허가취소일자,영업상태명,폐업일자,소재지시설전화번호,X좌표값,Y좌표값,약국영업면적,지정일자
가평군,대신약국,20170911,경기도 가평군 가평읍 정간내로 1,경기도 가평군 가평읍 읍내리 445번지,12412,37.83159754,127.5129433,,폐업,20191111,031-581-6881,,,22,20170911
가평군,독일약국,19650817,경기도 가평군 청평면 청평중앙로72번길 24,경기도 가평군 청평면 청평리 388번지 15호,12452,37.7374628,127.4226961,,폐업,20140113,031-584-0005,237193.9937,470648.8424,29,19650817
가평군,란약국,19930928,"경기도 가평군 청평면 경춘로 1401, 2층",경기도 가평군 청평면 상천리 295번지,12449,37.776266,127.4615303,,영업중,,031-581-0625,240595.9872,474969.5093,103.7,19930928
가평군,만사형통약국,20090713,,경기도 가평군 청평면 청평리 445번지 60호,12451,37.738602,127.4164741,,폐업,20100907,031-585-1022,,,30,20090713
가평군,모범약국,20080502,경기도 가평군 상면 청군로 696,경기도 가평군 상면 임초리 412번지 5호,12447,37.7739317,127.3719846,,영업중,,031-585-9630,232707.8499,474675.2489,24.96,20080502
가평군,보령약국,20180831,"경기도 가평군 가평읍 가화로 123, 보령약국",경기도 가평군 가평읍 읍내리 470번지 3호 보령약국,12418,37.8304529,127.5130262,,영업중,,031-582-7639,245099.6579,481009.2475,91.8,20180831
가평군,보령약국,20020501,경기도 가평군 가평읍 가화로 123 (읍내리),경기도 가평군 가평읍 읍내리 470번지 3호,12418,37.8304529,127.5130262,,폐업,20100906,031-582-7639,245099.6579,481009.2475,91,20020501
가평군,보령약국,20100906,경기도 가평군 가평읍 가화로 123,경기도 가평군 가평읍 읍내리 470번지 3호,12418,37.8304529,127.5130262,,폐업,20140811,582-7639,245099.6579,481009.2475,67,20100906
가평군,보령약국,20140811,경기도 가평군 가평읍 가화로 123,경기도 가평군 가평읍 읍내리 470번지 3호,12418,37.8304529,127.5130262,,폐업,20180830,031-582-7639,245099.6579,481009.2475,91.8,20140811
가평군,비채자연약국,20110328,경기도 가평군 청평면 경춘로 67-11 (대성리),경기도 가평군 청평면 대성리 399번지 41호,12457,37.6821348,127.3773222,,폐업,20110722,1661-1905,233220.2437,464488.8774,153.06,20110328
가평군,서울프라자약국,19911227,경기도 가평군 조종면 현창로38번길 4-1 (서울프라자약국),경기도 가평군 조종면 현리 265번지 2호,12437,37.8184549,127.3487082,,영업중,,031-585-1007,230638.3825,479609.2419,70,19911227
가평군,설악약국,20180621,경기도 가평군 설악면 미사리로540번길 51,경기도 가평군 설악면 미사리 149번지 4호 설악휴게소,12462,37.7015856,127.5464997,,영업중,,,248130.439,466721.1419,16.5,20180621
가평군,소리약국,20170720,경기도 가평군 가평읍 석봉로 198,경기도 가평군 가평읍 읍내리 615번지 5호,12413,37.8325651,127.5100192,,폐업,20171124,031-581-7761,244835.245,481241.3862,46.2,20170720
가평군,소망약국,20090617,경기도 가평군 가평읍 가화로 75-1 (대곡리),경기도 가평군 가평읍 대곡리 233번지 4호,12420,37.8265444,127.5147485,,폐업,20090930,031-581-4067,245253.3115,480573.382,46,20090617
가평군,소명약국,20190408,"경기도 가평군 가평읍 석봉로 198, 1층",경기도 가평군 가평읍 읍내리 615번지 5호,12413,37.8325651,127.5100192,,폐업,20190509,031-581-0388,244835.245,481241.3862,49.5,20190408
가평군,소명약국,20190509,경기도 가평군 가평읍 석봉로 198,경기도 가평군 가평읍 읍내리 615-5번지,12413,37.8325651,127.5100192,,영업중,,031-581-0388,244835.245,481241.3862,49.5,20190509
가평군,약손약국,20070327,경기도 가평군 가평읍 가화로 76 (읍내리),가평읍 읍내리 362-2,12419,37.8264523,127.5152135,,폐업,20090114,,,,35,20070327
가평군,연인산약국,19990828,경기도 가평군 가평읍 가화로 47,경기도 가평군 가평읍 대곡리 189번지 3호,12420,37.8240099,127.5154125,,폐업,20151005,031-581-8362,245315.4995,480294.9282,52,19990828
가평군,연인산약국,20151005,경기도 가평군 가평읍 가화로 47,경기도 가평군 가평읍 대곡리 189-3번지,12420,37.8240099,127.5154125,,영업중,,031-581-8362,245315.4995,480294.9282,67.63,20151005
가평군,온누리감초약국,19990429,경기도 가평군 설악면 신천중앙로88번길 1 (온누리감초약국),경기도 가평군 설악면 신천리 120번지 12호,12465,37.6768064,127.4937563,,폐업,20180205,031-585-1008,243499.7889,463967.6343,76,19990429
가평군,용한약국,19850427,경기도 가평군 설악면 신천중앙로 103,경기도 가평군 설악면 신천리 412번지 11호,12467,37.677057,127.492001,,영업중,,031-584-7322,243339.2158,463971.0189,15.4,19850427
가평군,우리네약국,20051220,경기도 가평군 청평면 청평중앙로 34 (청평리),청평면 청평리 434-82,12453,37.73691,127.4185068,,폐업,20101220,031-585-5425,,,24.8,20051220
가평군,우리약국,20041228,경기도 가평군 조종면 현창로 37 (우리약국),경기도 가평군 조종면 현리 409번지 8호,12437,37.8181772,127.3481505,,영업중,,031-585-4599,230590.0502,479578.572,45.5,20041228
가평군,우림약국,20170817,경기도 가평군 가평읍 가화로 155-19 (우림약국),경기도 가평군 가평읍 읍내리 624-13번지 (우림약국),12413,37.83286931,127.5105211,,영업중,,031-582-5661,244879.1689,481274.8679,49.5,20170817
가평군,우림약국,20040621,경기도 가평군 가평읍 가화로 155-19,경기도 가평군 가평읍 읍내리 624번지 13호,12413,37.8328693,127.5105211,,폐업,20170816,031-582-5661,244879.1689,481274.8679,49.7,20040621
가평군,은혜약국,20120229,경기도 가평군 가평읍 연인길 3,경기도 가평군 가평읍 읍내리 478번지 23호,12418,37.8283497,127.5139659,,영업중,,031-581-7227,245185.4581,480775.8927,58.2,20120229
가평군,이화온누리약국,20101206,경기도 가평군 가평읍 가화로 55-12,경기도 가평군 가평읍 대곡리 166번지 1호,12420,37.8248498,127.5149412,,폐업,20130717,582-6904,245272.3992,480386.6023,49,20101206
가평군,제일약국,20070319,경기도 가평군 설악면 신천중앙로 118 (신천리),설악면 신천리 435-14,12465,37.6779716,127.4908847,,폐업,20091228,,,,28,20070319
가평군,조일약국,20080501,경기도 가평군 가평읍 석봉로 224,경기도 가평군 가평읍 읍내리 673번지,12413,37.8348206,127.5092735,,영업중,,031-581-1718,244767.6775,481490.1539,99,20080501
가평군,종로약국,20030617,경기도 가평군 청평면 청평중앙로 37-1,경기도 가평군 청평면 청평리 463번지 1호,12452,37.7374411,127.4186459,,영업중,,031-584-8716,236837.2193,470642.3479,24.89,20030617
가평군,청수약국,19840925,경기도 가평군 청평면 시장중앙로 3,경기도 가평군 청평면 청평리 434번지 45호,12453,37.7355752,127.4163439,,폐업,20160718,031-584-0929,236634.9999,470435.9396,41,19840925
가평군,청평약국,19760715,"경기도 가평군 청평면 청평중앙로 57, 1층",경기도 가평군 청평면 청평리 465번지 18호,12452,37.7384346,127.420512,,영업중,,031-584-0263,237001.7798,470753.3845,45,19760715
가평군,프라자약국,20060403,경기도 가평군 청평면 청평중앙로 35 (청평리),경기도 가평군 청평면 청평리 462번지 2호,12452,37.7373247,127.4184524,,폐업,20100702,031-584-0315,236821.3537,470631.4569,49,20060403
가평군,프라자약국,20100702,경기도 가평군 청평면 청평중앙로 35,경기도 가평군 청평면 청평리 462번지 2호,12452,37.7373247,127.4184524,,영업중,,031-584-0315,236821.3537,470631.4569,49,20100702
가평군,플러스약국,20090910,경기도 가평군 가평읍 신용길 3,경기도 가평군 가평읍 읍내리 362번지 7호,12419,37.8262878,127.5157462,,폐업,20151028,031-582-8230,245342.652,480547.0284,36,20090910
가평군,한마음 약국,20140819,경기도 가평군 가평읍 연인1길 1,경기도 가평군 가평읍 읍내리 476-7번지,12418,37.8292882,127.5136089,,폐업,20171128,582-2173,245153.0136,480879.0109,26.06,20140819
가평군,한마음약국,20100906,경기도 가평군 가평읍 연인1길 1,경기도 가평군 가평읍 읍내리 476번지 7호,12418,37.8292882,127.5136089,,폐업,20140819,031-582-2173,245153.0136,480879.0109,17,20100906
가평군,한마음약국,20050107,경기도 가평군 가평읍 연인1길 1 (읍내리),경기도 가평군 가평읍 읍내리 476번지 7호,12418,37.8292882,127.5136089,,폐업,20100906,031-582-2173,245153.0136,480879.0109,25,20050107
가평군,한마음약국,20171128,경기도 가평군 가평읍 연인1길 1,경기도 가평군 가평읍 읍내리 476번지 7호 임내과의원,12418,37.8292882,127.5136089,,영업중,,031-582-2174,245153.0136,480879.0109,26.06,20171128
가평군,한천당약국,20020716,경기도 가평군 가평읍 연인길 3,경기도 가평군 가평읍 읍내리 478번지 23호,12418,37.8283497,127.5139659,,폐업,20120229,031-582-6465,245185.4581,480775.8927,58,20020716
가평군,한천당약국,20050223,경기도 가평군 가평읍 가화로 118,경기도 가평군 가평읍 읍내리 473번지 1호,12419,37.8301256,127.5137169,,영업중,,031-582-4994,245162.8246,480972.3957,63.9,20050223
가평군,현대약국,20010206,경기도 가평군 조종면 현창로 41-1 (현대약국),경기도 가평군 조종면 현리 409번지 3호,12437,37.8184568,127.3480382,,영업중,,031-584-3524,230580.4142,479609.5282,40,20010206
가평군,홍온누리약국,20101220,경기도 가평군 청평면 청평중앙로 34,경기도 가평군 청평면 청평리 434번지 82호,12453,37.73691,127.4185068,,폐업,20130405,585-5425,236826.6715,470584.6877,24.8,20101220
가평군,효정약국,20181025,"경기도 가평군 설악면 미사리로 267-181, 1층",경기도 가평군 설악면 송산리 426번지 26호,12461,37.6903092,127.5217243,,영업중,,031-585-7639,245952.467,465457.6554,37.8,20181025
고양시,1004 약국,20181101,"경기도 고양시 덕양구 동세로 19, 아카메디 105호 (동산동)",경기도 고양시 덕양구 동산동 352번지 1호,10598,37.6445515,126.8862326,,영업중,,02-381-5052,189893.395,460258.63,40.95,20181101
고양시,21세기약국,20090501,"경기도 고양시 덕양구 고양대로 1361 (성사동, 신원당빌딩)",경기도 고양시 덕양구 성사동 700번지 11호,10464,37.6549328,126.8356179,,폐업,20170101,967-5385,185430.7384,461416.5259,61.56,20090501
고양시,21세기약국,20030225,경기도 고양시 덕양구 고양대로 1361 (성사동),경기도 고양시덕양구 성사동 700번지 11호,10464,37.6549328,126.8356179,,폐업,20040823,,185430.7384,461416.5259,53.29,20030225
고양시,365약국,20111006,"경기도 고양시 일산동구 중앙로1275번길 60-14, 302호 (장항동, 고일프라자 )",경기도 고양시 일산동구 장항동 769번지 고일프라자 302호,10401,37.6595777,126.7695137,,영업중,,031-907-7365,179597.8482,461945.7129,77.2,20111006
고양시,365종로약국,20100727,"경기도 고양시 일산서구 일산로 530, 1층 (일산동, 모아프라자)",경기도 고양시 일산서구 일산동 1080 모아프라자 1층,10374,37.6774069,126.7690498,,영업중,,031-921-5232,,,206.6,20100727
고양시,3층사랑약국,20130321,"경기도 고양시 덕양구 무원로 63, 308호 (행신동, 무원마을10단지서광상가)",경기도 고양시 덕양구 행신동 692번지 무원마을10단지 서광상가 308호,10521,37.6181928,126.8304899,,영업중,,031-979-6991,184970.1451,457339.7506,26.03,20130321
고양시,3층약국,20200520,"경기도 고양시 일산서구 킨텍스로 240, 304(일부)호 (대화동, 킨텍스 꿈에그린)",경기도 고양시 일산서구 대화동 2603번지 킨텍스 꿈에그린 오피스 304호일부,10391,37.66645324,126.7498595,,영업중,,,177924.7924,462674.1487,37.7,20200520
고양시,DMC하나약국,20200410,"경기도 고양시 덕양구 향기4로 1, 중흥메디프라자 108호 (향동동)",경기도 고양시 덕양구 향동동 0번지,10546,37.60069765,126.8952193,,영업중,,070-4110-2582,,,44.3,20200410
고양시,가까운약국,20050610,"경기도 고양시 일산동구 강송로 49, 102호 (백석동, 윈스턴파크아이)",경기도 고양시 일산동구 백석동 1238번지 윈스턴파크아이 102호,10450,37.6447721,126.7920401,,영업중,,031-901-7939,181581.5751,460297.5475,53.04,20050610
고양시,가까운이대약국,20081201,경기도 고양시 덕양구 통일로 773 (관산동),경기도 고양시덕양구 관산동 226번지 1호,10287,37.6872967,126.8643416,,폐업,20120507,963-3030,187969.748,465006.2313,44.73,20081201
고양시,가나다약국,19950511,경기도 고양시 덕양구 중앙로 466 (행신동),경기도 고양시덕양구 행신동 181번지 5호,10492,37.6188601,126.8437294,,폐업,20001031,,186138.2305,457413.2299,30,19950511
고양시,가나다약국,19951202,경기도 고양시 덕양구 중앙로 466 (행신동),경기도 고양시 덕양구 행신동 181-5,10492,37.6188601,126.8437294,,폐업,20100601,031-971-4357,,,40.14,19951202
고양시,가나약국,20001121,경기도 고양시 덕양구 충경로 38 (행신동),경기도 고양시덕양구 행신동 714번지,10523,37.6150531,126.8336798,,폐업,20051201,,185249.138,457007.1989,20,20001121
고양시,가나약국,20001121,"경기도 고양시 일산서구 중앙로 1449, 108호 (주엽동, 효원빌딩)",경기도 고양시 일산서구 주엽동110.효원빌딩108호,10387,37.6705755,126.7591308,,영업중,,031 912 2627,,,41.36,20001121
고양시,가람약국,19881007,경기도 고양시 덕양구 충장로103번길 23 (행신동),경기도 고양시덕양구 행신동 621번지,10517,37.620638,126.8328969,,폐업,20050531,,185183.6799,457611.9904,29,19881007
고양시,가은약국,19991201,"경기도 고양시 일산서구 탄중로233번길 25, 105호 (탄현동, 외 1필지 양우프라자)",경기도 고양시 일산서구 탄현동1490-1외1필지양우프라자105호,10244,37.6945184,126.7702093,,영업중,,031 923 6039,179703,465838,29.76,19991201
고양시,가장약국,20181019,경기도 고양시 덕양구 동헌로1번길 7 (관산동),경기도 고양시 덕양구 관산동 687번지 48호,10266,37.7051277,126.8576179,,영업중,,031-962-4810,187378.7471,466984.0809,35,20181019
고양시,가장약국,20160414,경기도 고양시 덕양구 동헌로1번길 7 (관산동),경기도 고양시 덕양구 관산동 687-48번지,10266,37.7051277,126.8576179,,폐업,20171011,031-962-4810,187386,466990,30,20160414
고양시,가장약국,20171011,경기도 고양시 덕양구 동헌로1번길 7 (관산동),경기도 고양시 덕양구 관산동 687번지 48호,10266,37.7051277,126.8576179,,폐업,20181019,962-4810,187378.7471,466984.0809,35,20171011
고양시,가정약국,20000914,경기도 고양시 덕양구 용현로53번길 52 (행신동),경기도 고양시덕양구 행신동 741번지,10525,37.6185771,126.834544,,폐업,20080303,,185328.3815,457381.5543,28.28,20000914
고양시,가좌약국,20070205,"경기도 고양시 일산서구 가좌3로 11 (가좌동,오성프라자 106호)",경기도 고양시일산서구 가좌동 392번지 22호 오성프라자 106호,10209,37.6856511,126.7198785,,폐업,20071016,922-7574,175226.5295,464850.275,17.39,20070205
고양시,간촌약국,19950111,,경기도 고양시덕양구 관산동 541번지 17호,10266,37.7059588,126.8594193,,폐업,20070625,,,,24.34,19950111
고양시,강선약국,20021112,"경기도 고양시 일산서구 대산로 117, 101호 (주엽동)",경기도 고양시 일산서구 주엽동 51.101호,10388,37.6738745,126.7642435,,영업중,,031 925 1141,179146,463546,42.34,20021112
고양시,건강과행복이열리는함수약국,20030228,경기도 고양시 덕양구 무원로 62 (행신동),경기도 고양시덕양구 행신동 735번지 4호,10524,37.6183309,126.8324831,,폐업,20060601,,185146.6234,457354.1383,101.78,20030228
고양시,건강당약국,19951230,,경기도 고양시덕양구 고양동 110번지,,37.7038749,126.9000308,,폐업,19971126,,,,37.45,19951230
고양시,건강드림약국,20160926,"경기도 고양시 덕양구 도래울로 52, 102호 (도내동, 센터프라자)",경기도 고양시 덕양구 도내동 1020번지 센터프라자 102호,10551,37.63024435,126.8694548,,영업중,,031-965-7582,188410.6047,458676.3217,38.61,20160926
고양시,건강드림온누리약국,20100609,"경기도 고양시 일산서구 강성로 275, 101호 (대화동, 스타타워빌딩)",경기도 고양시 일산서구 대화동 2206번지 스타타워빌딩 101호,10381,37.6772071,126.7466286,,폐업,20150119,911-8275,177584.4064,463908.6118,54.51,20100609
고양시,건강드림온누리약국,20150119,"경기도 고양시 일산서구 강성로 275, 101호 (대화동, 스타타워빌딩)",경기도 고양시 일산서구 대화동 2206번지 스타타워빌딩 101호,10381,37.6772071,126.7466286,,영업중,,911-8275,177597,463921,54.51,20150119
고양시,건강약국,20001013,"경기도 고양시 덕양구 호국로 792, 1층 (성사동, 천일빌딩)",경기도 고양시 덕양구 성사동 696번지 3호,10463,37.656547,126.8366228,,영업중,,031-963-9639,185517.5345,461595.1017,35.2,20001013
고양시,건강온누리약국,20040504,"경기도 고양시 덕양구 화중로 60 110호 (화정동,화정빌딩)",경기도 고양시 덕양구 화정동 983  화정빌딩110호,10500,37.6323295,126.8307632,,폐업,20090501,031-972-4400,,,20.28,20040504
고양시,건강온누리약국,20090501,"경기도 고양시 덕양구 화중로 60 (화정동,화정빌딩110호)",경기도 고양시 덕양구 화정2동 983번지 화정빌딩110호,10500,37.6323295,126.8307632,,폐업,20090707,972-4400,184997.277,458910.2791,17.86,20090501
고양시,건강온누리약국,20090707,"경기도 고양시 덕양구 화중로 60 (화정동,화정빌딩 110호)",경기도 고양시 덕양구 화정2동 983번지 화정빌딩 110호,10500,37.6323295,126.8307632,,폐업,20090901,973-6024,184997.277,458910.2791,17.86,20090707
고양시,건강을요리하는약국,20160912,"경기도 고양시 일산동구 중앙로 1130, 상가동 2층 A2-8호 (마두동, 강촌마을6단지아파트)",경기도 고양시 일산동구 마두동 806번지 강촌마을6단지아파트,10422,37.6496066,126.7802078,,영업중,,031-965-4321,180539.609,460835.8507,58.59,20160912
고양시,건강을요리하는약국,20061027,"경기도 고양시 일산서구 중앙로 1406, 106호 (주엽동, 한솔코아)",경기도 고양시 일산서구 주엽2동 72번지 2호 한솔코아 106호,10386,37.6692697,126.7638275,,폐업,20160906,031 915 7501,179098.8568,463022.1249,58.9,20061027
고양시,건강한약국,20010509,경기도 고양시 일산서구 일산로 526 (일산동),경기도 고양시일산서구 일산동 1081번지 1호,10374,37.6771826,126.7695493,,폐업,20070411,916-8645,179605.63,463899.8833,53.85,20010509
고양시,건강한약국,19960530,,경기도 고양시덕양구 화정동 부영@ 6단지 제2상가,,37.6423568,126.8243611,,폐업,19971024,,,,30,19960530
고양시,건강한약국,20070411,"경기도 고양시 일산서구 일산로 526, 1층 (일산동, 진송빌딩)",경기도 고양시 일산서구 일산동 1081-1번지 진송빌딩 1층,10374,37.6771826,126.7695493,,영업중,,031 916 8645,179605,463899,53.35,20070411
고양시,건강한온누리약국,20090901,"경기도 고양시 덕양구 화중로 60 (화정동,화정빌딩110호일부)",경기도 고양시 덕양구 화정1동 983번지 화정빌딩110호일부,10500,37.6323295,126.8307632,,폐업,20091229,972-4400,184997.277,458910.2791,17.86,20090901
고양시,경남약국,19900629,경기도 고양시 덕양구 행신로143번길 28-34 (행신동),경기도 고양시덕양구 행신동 620번지 2호,10517,37.6200517,126.8324565,,폐업,19990222,,185143.313,457545.6792,25,19900629
고양시,경원약국,20111220,"경기도 고양시 일산동구 동국로 26, 1층 (식사동)",경기도 고양시 일산동구 식사동 662번지 8호,10325,37.6763778,126.8075937,,영업중,,031-969-2900,182962.174,463801.4804,58,20111220
고양시,경일약국,20081104,"경기도 고양시 일산동구 은행마을로 95 (식사동,외1필지. 1층)",경기도 고양시일산동구 식사동 857번지 외1필지. 1층,10304,37.671294,126.8061562,,폐업,20081211,,182832.8468,463238.9037,33.37,20081104
고양시,경일약국,20080604,,경기도 고양시 일산동구 식사동857외2필지. 1층,,37.6810694,126.8172172,,폐업,20081020,031-964-0988,,,33.37,20080604
고양시,경희동의본원한약국,20080929,"경기도 고양시 일산서구 일산로695번길 6-16 (대화동,1층일부)",경기도 고양시일산서구 대화동 2138번지 4호 1층일부,10370,37.6800138,126.7530125,,폐업,20110906,918-7590,178147.335,464216.01,47.17,20080929
고양시,경희동의본원한약국,20071026,경기도 고양시 일산서구 일산로695번길 6-16 1층 일부 (대화동),경기도 고양시 일산서구 대화동 2138-4.1층일부,10370,37.6800138,126.7530125,,폐업,20080929,031 918 7590,,,47.17,20071026
고양시,경희선한약국,20140901,"경기도 고양시 일산동구 중앙로 1130, B동 37호 (마두동, 강촌마을6단지아파트)",경기도 고양시 일산동구 마두동 806번지 강촌마을 상가동 B동 37호,10422,37.6496066,126.7802078,,영업중,,031-902-2889,180539.609,460835.8507,25.15,20140901
고양시,경희순수 한약국,20140122,"경기도 고양시 일산서구 일현로 97-11, 1층 106호 (탄현동, 두산위브더제니스스퀘어)",경기도 고양시 일산서구 탄현동 1640번지 두산위브더제니스스퀘어 1층 106호,10242,37.6940982,126.7628408,,영업중,,031-916-1113,179005.6651,465786.0297,45.4,20140122
고양시,경희유원한약국,20111031,"경기도 고양시 덕양구 토당로 52, 1층 102호 (토당동, 능곡프라자)",경기도 고양시 덕양구 토당동 855번지 능곡프라자 102호,10510,37.6204934,126.8205735,,폐업,20140425,031-979-6160,184096.8429,457582.2261,46.62,20111031
고양시,경희유원한약국,20140425,"경기도 고양시 덕양구 토당로 52, 102호 (토당동, 능곡프라자)",경기도 고양시 덕양구 토당동 444번지 1호 능곡프라자 102호,10510,37.6204934,126.8205735,,영업중,,031-979-6160,184094.1744,457597.1404,46.62,20140425
고양시,경희자연약국,20130731,"경기도 고양시 덕양구 호국로 803, 209호 (주교동, 세창짜임주상복합아파트상가)",경기도 고양시 덕양구 주교동 620번지 5호 세창짜임주상복합아파트상가 209호,10462,37.6576016,126.8369831,,폐업,20151026,031-967-9491,185549.927,461713.2318,105,20130731
고양시,경희참한약국,20080502,"경기도 고양시 일산동구 일산로463번길 77-1, 1층 (정발산동)",경기도 고양시 일산동구 정발산동1171-11. 1층,10359,37.67116303,126.773681,,영업중,,031-911-7306,179964.7192,463219.7519,49.64,20080502
고양시,경희한약국 순수착한맘,20190403,"경기도 고양시 일산서구 일현로 97-11, 106호 (탄현동, 일산 위브더제니스)",경기도 고양시 일산서구 탄현동 1640번지 일산 위브더제니스 106호,10242,37.69511183,126.7636246,,폐업,20200608,031-916-1113,179005.6651,465786.0297,45.4,20190403
고양시,경희한약국 순수착한맘,20181231,"경기도 고양시 일산서구 일현로 97-11, (상가) 1동 106호 (탄현동, 일산 위브더제니스)",경기도 고양시 일산서구 탄현동 1640번지 일산 위브더제니스스퀘어 (상가)  1동 106호,10242,37.6940982,126.7628408,,폐업,20190403,031-916-1113,179005.6651,465786.0297,45.43,20181231
고양시,경희행복한약국,20190321,"경기도 고양시 덕양구 중앙로 559, 그랑프리빌딩 105호 (행신동)",경기도 고양시 덕양구 행신동 999번지 1호 그랑프리빌딩,10518,37.6234697,126.8347369,,영업중,,031-971-7767,185344.8878,457923.6822,35.88,20190321
고양시,경희허준약국,20160816,"경기도 고양시 일산동구 숲속마을1로 29-37, 108호 (풍동, 서광 미르프라자)",경기도 고양시 일산동구 풍동 1292번지 1호 서광미르프라자 108호,10307,37.6636288,126.7967922,,폐업,20180426,031-907-0706,182006.8894,462388.4575,35.34,20160816
고양시,고려약국,20161028,경기도 고양시 일산서구 원일로 73 (일산동),경기도 고양시 일산서구 일산동 595번지 5호,10350,37.6863471,126.7704275,,영업중,,031-975-6611,179691.2275,464910.9427,70.68,20161028
고양시,고려약국,19970121,"경기도 고양시 일산서구 원일로 73 (일산동, 595-4,5.)","경기도 고양시 일산서구 일산동595-4,5.",10350,37.6863471,126.7704275,,폐업,20161028,031 975 6611,179686,464917,44.5,19970121
고양시,고봉약국,20050304,경기도 고양시 일산동구 공릉천로 32 (사리현동),경기도 고양시 일산동구 사리현동 127번지 4호,10261,37.6961284,126.8446188,,영업중,,031-964-4290,186231.0251,465986.5103,29.64,20050304
고양시,고약국,19880627,경기도 고양시 덕양구 마상로 175-1 (성사동),경기도 고양시덕양구 성사동 494번지 1호,10466,37.657662,126.8415614,,폐업,20000724,,185954.6691,461717.2857,26.91,19880627
고양시,고양미소약국,20061219,,경기도 고양시 덕양구 고양동 223-1,10275,37.7029574,126.901699,,폐업,20110502,031-962-6459,,,39.89,20061219
고양시,고양삼성약국,20070410,경기도 고양시 덕양구 동헌로 461 (고양동),경기도 고양시덕양구 고양동 176번지 8호,10272,37.7069587,126.9029523,,폐업,20070531,,191377.7959,467184.5387,45.56,20070410
고양시,고양삼성약국,20080227,"경기도 고양시 덕양구 동헌로 461 106호 (고양동,성지빌딩)",경기도 고양시 덕양구 고양동176-8 성지106호,10272,37.7069587,126.9029523,,폐업,20110812,031-963-5882,,,45.56,20080227
고양시,고양삼성약국,20070601,경기도 고양시 덕양구 동헌로 461 (고양동),경기도 고양시덕양구 고양동 176번지 8호,10272,37.7069587,126.9029523,,폐업,20080226,,191377.7959,467184.5387,45.66,20070601
고양시,고양새물약국,20140501,경기도 고양시 덕양구 혜음로 36 (고양동),경기도 고양시 덕양구 고양동 131번지,10275,37.70354347,126.9021745,,영업중,,031-962-4817,191308.6564,466804.8155,56.9,20140501
고양시,고양약국,19961207,경기도 고양시 덕양구 고양시청로 26 (주교동),경기도 고양시덕양구 주교동 603번지 13호,10460,37.6569628,126.8312616,,폐업,20010630,,185045.5895,461644.6708,23.55,19961207
고양시,고양약국,20010702,경기도 고양시 덕양구 고양시청로 26 (주교동),경기도 고양시 덕양구 주교동 603-13,10460,37.6569628,126.8312616,,폐업,20150530,031-967-5114,185052,461655,29.52,20010702
고양시,고양약국,20200101,"경기도 고양시 덕양구 도래울로 110, 테마시티 307(일부)호 (도내동)",경기도 고양시 덕양구 도내동 966번지,10551,37.63483362,126.8724262,,폐업,20200110,,188674.9078,459180.776,16.5,20200101
